id,race,clothes,drink,boots,accessories,glasses
0,Bear,Fur coat,Beer,Army boots,,
1,Bear,Shirt with tie,Vodka,,,Love
2,Bear,Skin,Vodka,Felt boots,The Ushanka,
3,Bear,Medical uniform,Beer,Slippers,,
4,Bear,Sleeveless shirt,Beer,The Lapti,Golden chains,
5,Bear,Sleeveless shirt,Beer,Sandals with socks,,Kurt Cobain
6,Bear,Costume,Vodka,The Lapti,Scar,
7,Bear,Costume,Vodka,,,Neo
8,Bear,Medical uniform,Whiskey,,Scar,
9,Bear,Shirt with tie,Vodka,Army boots,The Ushanka,
10,Bear,Sleeveless shirt,Beer,Adidas,Balaclava,Kurt Cobain
11,Bear,Worker,Beer,,,
12,Bear,Worker,Vodka,Slippers,,Black
13,Bear,Hoodie,Vodka,The Lapti,,
14,Bear,Bathrobe,Vodka,Sandals with socks,Balaclava,Black
15,Demon,Fur coat,Beer,The Lapti,,
16,Bear,Worker,Vodka,The Lapti,The Ushanka,
17,Bear,Vest,Vodka,Sandals with socks,,Party
18,Bear,Costume,Vodka,Felt boots,,Party
19,Bear,Costume,Vodka,Sandals with socks,,Love
20,Bear,Costume,Beer,Slippers,Balaclava,Party
21,Bear,Medical uniform,Vodka,The Lapti,,Kurt Cobain
22,Bear,Sleeveless shirt,Vodka,,,
23,Bear,Hoodie,Vodka,,,Kurt Cobain
24,Bear,Sleeveless shirt,Vodka,Army boots,,
25,Bear,Medical uniform,Moonshine,Sandals with socks,,Love
26,Bear,Bathrobe,Vodka,The Lapti,,
27,Bear,Skin,Vodka,Army boots,The Ushanka,
28,Bear,Shirt with tie,Tincture,Army boots,Scar,
29,Bear,Bathrobe,Beer,Felt boots,,
30,Bear,Vest,Vodka,,Scar,
31,Bear,Sleeveless shirt,Vodka,Adidas,,
32,Bear,Bathrobe,Beer,Sandals with socks,,
33,Bear,Worker,Vodka,Slippers,Scar,
34,Bear,Shirt with tie,Absinthe,Slippers,,Black
35,Bear,Hoodie,Vodka,Slippers,,Black
36,Bear,Shirt with tie,Whiskey,,,Party
37,Bear,Vest,Whiskey,The Lapti,,Party
38,Bear,Military,Beer,Slippers,,Love
39,Bear,Worker,Beer,,,Love
40,Bear,Medical uniform,Vodka,The Lapti,Balaclava,
41,Bear,Worker,Beer,The Lapti,,
42,Bear,Shirt with tie,Beer,Felt boots,Balaclava,Kurt Cobain
43,Bear,Hoodie,Vodka,Slippers,,Black
